MAG13_MS100_SN338 X,MAG13_MS100_SN338 Y,MAG13_MS100_SN338 Z,MAG13_MS100_SN596 X,MAG13_MS100_SN596 Y,MAG13_MS100_SN596 Z,MAG13_MS100_SN597 X,MAG13_MS100_SN597 Y,MAG13_MS100_SN597 Z,MAG13_MSL100_SN773 X,MAG13_MSL100_SN773 Y,MAG13_MSL100_SN773 Z,MAG13_MSL100_SN594 X,MAG13_MSL100_SN594 Y,MAG13_MSL100_SN594 Z,MAG13_MSL100_SN777 X,MAG13_MSL100_SN777 Y,MAG13_MSL100_SN777 Z,MAG13_MS70_SN339 X,MAG13_MS70_SN339 Y,MAG13_MS70_SN339 Z
1.148E-6,874.686E-9,1.087E-6,1.151E-6,867.475E-9,1.148E-6,1.208E-6,900.727E-9,1.048E-6,-1.395E-6,-1.339E-6,-1.126E-6,1.337E-6,1.066E-6,1.276E-6,-141.297E-9,260.329E-9,521.335E-9,1.714E-6,1.305E-6,1.560E-6
2.975E-6,-5.390E-6,1.017E-6,4.015E-6,-6.743E-6,1.070E-6,1.824E-6,-6.171E-6,834.356E-9,-855.343E-9,-520.021E-9,266.538E-9,3.718E-6,-5.108E-6,839.030E-9,-2.266E-6,-366.982E-9,793.760E-9,5.034E-6,-2.638E-6,1.572E-6
3.838E-6,-15.113E-6,-723.605E-9,6.493E-6,-17.780E-6,-499.856E-9,1.279E-6,-16.625E-6,-843.191E-9,-864.624E-9,-558.948E-9,240.698E-9,5.443E-6,-14.470E-6,-609.427E-9,-2.244E-6,-353.628E-9,790.555E-9,7.598E-6,-8.979E-6,119.973E-9
3.905E-6,-25.520E-6,-3.187E-6,7.863E-6,-29.809E-6,-3.002E-6,88.261E-9,-28.139E-6,-3.209E-6,-858.682E-9,-586.391E-9,234.488E-9,6.286E-6,-24.699E-6,-2.887E-6,-2.243E-6,-354.563E-9,790.154E-9,9.413E-6,-15.852E-6,838.967E-9
3.939E-6,-35.924E-6,-5.726E-6,9.112E-6,-41.948E-6,-5.456E-6,-1.088E-6,-39.869E-6,-5.543E-6,-853.206E-9,-612.632E-9,229.280E-9,7.004E-6,-35.067E-6,-5.633E-6,-2.242E-6,-355.431E-9,788.552E-9,10.988E-6,-22.792E-6,453.413E-9
3.950E-6,-46.301E-6,-8.277E-6,10.289E-6,-54.053E-6,-7.943E-6,-2.157E-6,-51.640E-6,-7.888E-6,-847.998E-9,-639.807E-9,223.137E-9,7.673E-6,-45.415E-6,-8.390E-6,-2.242E-6,-356.833E-9,788.819E-9,13.573E-6,-29.812E-6,-1.421E-6
3.951E-6,-56.649E-6,-10.820E-6,11.435E-6,-66.102E-6,-10.419E-6,-3.113E-6,-63.334E-6,-10.214E-6,-843.191E-9,-667.117E-9,215.459E-9,8.330E-6,-55.725E-6,-11.135E-6,-2.242E-6,-358.035E-9,788.752E-9,16.491E-6,-36.527E-6,-3.284E-6
3.947E-6,-66.958E-6,-13.349E-6,12.552E-6,-78.097E-6,-12.879E-6,-3.975E-6,-74.879E-6,-12.530E-6,-839.318E-9,-694.693E-9,211.119E-9,8.962E-6,-65.998E-6,-13.866E-6,-2.242E-6,-358.436E-9,788.685E-9,18.814E-6,-43.139E-6,-5.144E-6
3.931E-6,-77.235E-6,-15.871E-6,13.638E-6,-90.042E-6,-15.326E-6,-4.800E-6,-86.265E-6,-14.863E-6,-834.778E-9,-721.201E-9,204.842E-9,9.575E-6,-76.238E-6,-16.594E-6,-2.243E-6,-360.038E-9,787.350E-9,21.470E-6,-49.811E-6,-7.002E-6
3.961E-6,-84.720E-6,-18.640E-6,14.703E-6,-101.387E-6,-17.733E-6,-5.620E-6,-97.467E-6,-17.209E-6,-830.237E-9,-746.507E-9,198.566E-9,10.172E-6,-86.422E-6,-19.313E-6,-2.242E-6,-360.973E-9,787.884E-9,13.322E-6,-55.597E-6,7.959E-6
