MAG13_MS100_SN338 X,MAG13_MS100_SN338 Y,MAG13_MS100_SN338 Z,MAG13_MS100_SN596 X,MAG13_MS100_SN596 Y,MAG13_MS100_SN596 Z,MAG13_MS100_SN597 X,MAG13_MS100_SN597 Y,MAG13_MS100_SN597 Z,MAG13_MSL100_SN773 X,MAG13_MSL100_SN773 Y,MAG13_MSL100_SN773 Z,MAG13_MSL100_SN594 X,MAG13_MSL100_SN594 Y,MAG13_MSL100_SN594 Z,MAG13_MSL100_SN777 X,MAG13_MSL100_SN777 Y,MAG13_MSL100_SN777 Z,MAG13_MS70_SN339 X,MAG13_MS70_SN339 Y,MAG13_MS70_SN339 Z
2.202E-6,1.183E-6,2.084E-6,1.990E-6,1.098E-6,2.042E-6,1.995E-6,1.189E-6,1.998E-6,431.195E-9,853.052E-9,1.110E-6,1.633E-6,1.428E-6,2.214E-6,782.743E-9,899.725E-9,2.494E-6,1.464E-6,1.388E-6,2.062E-6
3.896E-6,-6.355E-6,1.526E-6,4.970E-6,-7.953E-6,1.610E-6,2.511E-6,-7.410E-6,1.537E-6,-998.633E-9,-566.493E-9,237.426E-9,4.007E-6,-6.069E-6,1.412E-6,-2.342E-6,-373.793E-9,755.033E-9,4.731E-6,-3.562E-6,1.583E-6
4.568E-6,-16.139E-6,-459.593E-9,7.116E-6,-19.235E-6,-336.802E-9,2.032E-6,-18.257E-6,-289.728E-9,-973.995E-9,-569.164E-9,246.908E-9,5.471E-6,-15.726E-6,-54.362E-9,-2.291E-6,-351.224E-9,784.345E-9,7.081E-6,-10.058E-6,59.258E-9
4.232E-6,-26.795E-6,-2.978E-6,8.485E-6,-31.274E-6,-2.732E-6,1.261E-6,-29.821E-6,-2.474E-6,-972.058E-9,-596.406E-9,240.631E-9,6.282E-6,-26.049E-6,-2.599E-6,-2.291E-6,-351.091E-9,783.210E-9,8.204E-6,-16.910E-6,-752.046E-9
4.195E-6,-37.337E-6,-5.530E-6,9.715E-6,-43.368E-6,-5.151E-6,464.447E-9,-41.411E-6,-4.737E-6,-968.787E-9,-623.849E-9,235.290E-9,6.966E-6,-36.434E-6,-5.304E-6,-2.291E-6,-352.026E-9,783.344E-9,10.439E-6,-23.692E-6,-2.578E-6
4.237E-6,-47.778E-6,-8.083E-6,10.883E-6,-55.416E-6,-7.605E-6,-301.413E-9,-52.867E-6,-7.050E-6,-963.779E-9,-649.422E-9,229.414E-9,7.589E-6,-46.792E-6,-8.040E-6,-2.292E-6,-353.494E-9,782.943E-9,11.213E-6,-30.681E-6,-4.393E-6
4.273E-6,-58.154E-6,-10.628E-6,12.020E-6,-67.407E-6,-10.067E-6,-1.061E-6,-64.163E-6,-9.383E-6,-961.776E-9,-675.530E-9,224.673E-9,8.183E-6,-57.112E-6,-10.785E-6,-2.292E-6,-353.828E-9,782.943E-9,13.250E-6,-37.245E-6,-6.229E-6
4.306E-6,-68.495E-6,-13.156E-6,13.136E-6,-79.340E-6,-12.502E-6,-1.845E-6,-75.281E-6,-11.746E-6,-956.968E-9,-701.503E-9,218.864E-9,8.744E-6,-67.388E-6,-13.533E-6,-2.292E-6,-354.696E-9,784.145E-9,15.204E-6,-43.990E-6,-8.058E-6
4.337E-6,-78.802E-6,-15.670E-6,14.226E-6,-91.227E-6,-14.918E-6,-2.683E-6,-86.242E-6,-14.130E-6,-953.162E-9,-725.207E-9,213.255E-9,9.272E-6,-77.631E-6,-16.268E-6,-2.293E-6,-354.630E-9,783.744E-9,17.806E-6,-50.645E-6,-9.883E-6
-13.653E-6,-48.739E-6,-34.816E-6,18.200E-6,-102.157E-6,-17.513E-6,-3.276E-6,-96.915E-6,-16.552E-6,-948.822E-9,-748.911E-9,205.510E-9,9.759E-6,-87.843E-6,-18.990E-6,-2.292E-6,-356.699E-9,782.943E-9,-17.793E-6,-30.509E-6,31.265E-6
