MAG13_MS100_SN338 X,MAG13_MS100_SN338 Y,MAG13_MS100_SN338 Z,MAG13_MS100_SN596 X,MAG13_MS100_SN596 Y,MAG13_MS100_SN596 Z,MAG13_MS100_SN597 X,MAG13_MS100_SN597 Y,MAG13_MS100_SN597 Z,MAG13_MSL100_SN773 X,MAG13_MSL100_SN773 Y,MAG13_MSL100_SN773 Z,MAG13_MSL100_SN594 X,MAG13_MSL100_SN594 Y,MAG13_MSL100_SN594 Z,MAG13_MSL100_SN777 X,MAG13_MSL100_SN777 Y,MAG13_MSL100_SN777 Z,MAG13_MS70_SN339 X,MAG13_MS70_SN339 Y,MAG13_MS70_SN339 Z
2.218E-6,1.021E-6,1.817E-6,1.968E-6,929.772E-9,2.217E-6,2.014E-6,1.333E-6,1.995E-6,788.552E-9,844.840E-9,1.202E-6,1.573E-6,1.307E-6,1.546E-6,847.644E-9,1.790E-6,1.531E-6,2.834E-6,1.417E-6,2.025E-6
4.024E-6,-6.404E-6,1.359E-6,4.936E-6,-8.135E-6,1.772E-6,2.617E-6,-7.259E-6,1.569E-6,-934.266E-9,-565.425E-9,259.327E-9,3.820E-6,-6.272E-6,635.513E-9,-2.307E-6,-391.821E-9,784.679E-9,6.148E-6,-3.514E-6,1.556E-6
4.767E-6,-16.161E-6,-556.745E-9,7.105E-6,-19.410E-6,-188.170E-9,2.294E-6,-18.069E-6,-185.766E-9,-904.687E-9,-568.563E-9,269.743E-9,5.272E-6,-15.901E-6,-797.920E-9,-2.258E-6,-354.429E-9,798.768E-9,8.505E-6,-9.990E-6,134.416E-9
4.728E-6,-26.754E-6,-3.043E-6,8.531E-6,-31.410E-6,-2.526E-6,1.656E-6,-29.566E-6,-2.320E-6,-903.552E-9,-594.403E-9,263.734E-9,6.092E-6,-26.203E-6,-3.319E-6,-2.258E-6,-355.097E-9,798.434E-9,8.673E-6,-16.831E-6,1.497E-6
4.750E-6,-37.304E-6,-5.586E-6,9.822E-6,-43.475E-6,-4.901E-6,947.199E-9,-41.073E-6,-4.573E-6,-899.278E-9,-621.245E-9,257.725E-9,6.781E-6,-36.590E-6,-5.997E-6,-2.258E-6,-356.833E-9,797.966E-9,10.009E-6,-23.733E-6,271.129E-9
4.776E-6,-47.783E-6,-8.138E-6,11.050E-6,-55.489E-6,-7.320E-6,228.613E-9,-52.430E-6,-6.878E-6,-894.738E-9,-649.155E-9,252.116E-9,7.426E-6,-46.944E-6,-8.701E-6,-2.258E-6,-357.501E-9,797.366E-9,12.802E-6,-30.542E-6,-1.579E-6
4.802E-6,-58.232E-6,-10.693E-6,12.251E-6,-67.449E-6,-9.734E-6,-505.264E-9,-63.617E-6,-9.214E-6,-891.666E-9,-674.929E-9,245.305E-9,8.045E-6,-57.251E-6,-11.408E-6,-2.258E-6,-358.436E-9,797.165E-9,14.496E-6,-37.480E-6,-3.408E-6
4.808E-6,-68.642E-6,-13.233E-6,13.435E-6,-79.344E-6,-12.120E-6,-1.301E-6,-74.619E-6,-11.578E-6,-887.794E-9,-700.034E-9,240.498E-9,8.634E-6,-67.517E-6,-14.103E-6,-2.258E-6,-359.904E-9,796.164E-9,16.009E-6,-44.256E-6,-5.218E-6
4.811E-6,-79.028E-6,-15.756E-6,14.606E-6,-91.189E-6,-14.497E-6,-2.156E-6,-85.480E-6,-13.973E-6,-881.651E-9,-725.407E-9,234.088E-9,9.196E-6,-77.746E-6,-16.792E-6,-2.258E-6,-359.637E-9,795.763E-9,18.973E-6,-50.917E-6,-7.048E-6
-16.246E-6,-45.337E-6,-36.711E-6,11.619E-6,-102.116E-6,-16.507E-6,-3.449E-6,-96.287E-6,-16.345E-6,-872.837E-9,-745.973E-9,227.678E-9,9.724E-6,-87.924E-6,-19.473E-6,-2.257E-6,-361.106E-9,796.831E-9,-18.547E-6,-23.755E-6,36.448E-6
-91.062E-6,69.946E-6,-75.119E-6,11.114E-6,-102.873E-6,-14.585E-6,-5.931E-6,-104.803E-6,-17.764E-6,-852.806E-9,-763.266E-9,224.272E-9,10.683E-6,-97.887E-6,-22.171E-6,-2.258E-6,-361.440E-9,796.564E-9,53.777E-6,66.502E-6,12.188E-6
-2.698E-6,-802.327E-9,198.032E-9,60.880E-6,-105.082E-6,-16.416E-6,-4.718E-6,-105.082E-6,-19.872E-6,-887.126E-9,-790.709E-9,221.001E-9,11.543E-6,-104.667E-6,-24.906E-6,-2.258E-6,-363.109E-9,796.030E-9,15.381E-6,3.208E-6,1.543E-6
-681.940E-9,-642.478E-9,55.009E-9,63.560E-6,-105.082E-6,-17.543E-6,-5.863E-6,-105.082E-6,-22.324E-6,-881.651E-9,-813.545E-9,215.659E-9,11.947E-6,-105.082E-6,-27.618E-6,-2.259E-6,-364.245E-9,795.362E-9,-6.129E-6,1.465E-6,2.434E-6
-702.171E-9,-707.246E-9,43.391E-9,64.525E-6,-105.082E-6,-19.640E-6,-12.896E-6,-95.236E-6,-22.775E-6,-840.921E-9,-775.218E-9,216.327E-9,11.182E-6,-93.209E-6,-29.743E-6,-2.258E-6,-362.842E-9,795.229E-9,-6.177E-6,1.412E-6,2.479E-6
-662.509E-9,-706.578E-9,48.799E-9,50.446E-6,-105.082E-6,-22.117E-6,50.550E-6,29.364E-6,12.563E-6,-1.210E-6,-495.048E-9,263.934E-9,17.552E-6,-76.344E-6,-18.205E-6,-2.260E-6,-359.237E-9,796.364E-9,-6.191E-6,1.402E-6,2.477E-6
-302.749E-9,-591.732E-9,143.680E-9,-35.808E-6,-71.461E-6,39.496E-6,73.810E-6,94.999E-6,-91.823E-6,-1.049E-6,-442.700E-9,123.649E-9,-97.224E-6,-85.258E-6,67.987E-6,-2.244E-6,-359.637E-9,801.639E-9,-6.214E-6,1.373E-6,2.478E-6
-8.290E-9,-665.915E-9,261.731E-9,-100.930E-6,-77.560E-6,101.892E-6,-1.894E-6,2.303E-6,-4.330E-6,-840.387E-9,-543.123E-9,295.584E-9,-29.351E-6,-28.232E-6,33.070E-6,-2.252E-6,-356.032E-9,799.369E-9,-6.235E-6,1.348E-6,2.478E-6
-405.309E-9,-540.586E-9,130.994E-9,-7.558E-6,-217.683E-9,8.214E-6,-670.121E-9,-539.918E-9,276.287E-9,-881.651E-9,-528.434E-9,271.212E-9,-1.197E-6,-117.126E-9,-88.949E-9,-2.255E-6,-354.296E-9,797.499E-9,-6.244E-6,1.338E-6,2.482E-6
-408.113E-9,-547.130E-9,135.735E-9,-614.034E-9,-463.199E-9,231.684E-9,-677.132E-9,-498.454E-9,206.044E-9,-883.854E-9,-528.701E-9,269.343E-9,-1.476E-6,-551.536E-9,489.886E-9,-2.256E-6,-354.830E-9,797.366E-9,-6.248E-6,1.334E-6,2.484E-6
-399.166E-9,-556.878E-9,142.478E-9,-582.919E-9,-514.145E-9,191.488E-9,-678.534E-9,-494.915E-9,182.274E-9,-883.120E-9,-528.434E-9,269.076E-9,-1.456E-6,-582.384E-9,542.168E-9,-2.256E-6,-353.762E-9,797.499E-9,-6.250E-6,1.324E-6,2.482E-6
-392.889E-9,-563.555E-9,146.551E-9,-575.173E-9,-533.709E-9,182.608E-9,-690.353E-9,-497.853E-9,169.187E-9,-883.854E-9,-528.300E-9,268.541E-9,-1.437E-6,-579.780E-9,549.579E-9,-2.255E-6,-354.029E-9,796.965E-9,-6.250E-6,1.314E-6,2.481E-6
-388.215E-9,-564.623E-9,145.683E-9,-568.096E-9,-543.524E-9,175.864E-9,-697.497E-9,-504.797E-9,166.516E-9,-883.253E-9,-528.567E-9,268.541E-9,-1.421E-6,-569.164E-9,542.568E-9,-2.255E-6,-353.895E-9,797.766E-9,-6.252E-6,1.301E-6,2.479E-6
-387.280E-9,-563.555E-9,143.146E-9,-559.950E-9,-553.540E-9,169.788E-9,-700.569E-9,-511.474E-9,164.379E-9,-884.856E-9,-529.302E-9,270.545E-9,-1.406E-6,-557.746E-9,537.961E-9,-2.255E-6,-354.830E-9,796.765E-9,-6.253E-6,1.293E-6,2.480E-6
-389.551E-9,-562.220E-9,140.876E-9,-555.676E-9,-551.403E-9,159.572E-9,-704.708E-9,-517.216E-9,166.916E-9,-883.387E-9,-528.834E-9,269.343E-9,-1.392E-6,-547.664E-9,526.544E-9,-2.256E-6,-353.762E-9,797.098E-9,-6.255E-6,1.289E-6,2.482E-6
-393.490E-9,-557.946E-9,138.339E-9,-553.940E-9,-547.530E-9,149.957E-9,-708.982E-9,-524.695E-9,167.985E-9,-883.454E-9,-528.300E-9,270.144E-9,-1.378E-6,-539.718E-9,517.529E-9,-2.254E-6,-354.029E-9,797.766E-9,-6.256E-6,1.289E-6,2.486E-6
-397.163E-9,-558.481E-9,134.599E-9,-548.999E-9,-545.794E-9,146.351E-9,-716.327E-9,-529.636E-9,174.528E-9,-883.253E-9,-528.834E-9,269.343E-9,-1.370E-6,-531.372E-9,510.652E-9,-2.255E-6,-354.029E-9,796.965E-9,-6.258E-6,1.290E-6,2.489E-6
-403.105E-9,-556.745E-9,132.730E-9,-548.131E-9,-543.524E-9,141.944E-9,-719.999E-9,-536.313E-9,182.608E-9,-883.654E-9,-529.903E-9,270.545E-9,-1.361E-6,-523.893E-9,506.713E-9,-2.256E-6,-354.830E-9,797.766E-9,-6.259E-6,1.292E-6,2.491E-6
-402.905E-9,-553.807E-9,130.860E-9,-546.996E-9,-542.589E-9,142.745E-9,-721.535E-9,-539.251E-9,189.485E-9,-884.322E-9,-529.235E-9,268.942E-9,-1.355E-6,-518.151E-9,500.636E-9,-2.255E-6,-354.963E-9,797.232E-9,-6.260E-6,1.296E-6,2.493E-6
-408.514E-9,-549.734E-9,128.724E-9,-546.529E-9,-541.921E-9,143.547E-9,-726.810E-9,-542.122E-9,195.428E-9,-884.455E-9,-529.502E-9,269.142E-9,-1.348E-6,-514.278E-9,498.700E-9,-2.255E-6,-353.428E-9,797.366E-9,-6.260E-6,1.299E-6,2.493E-6
-410.517E-9,-551.002E-9,125.252E-9,-546.462E-9,-542.589E-9,140.876E-9,-729.814E-9,-544.325E-9,203.640E-9,-883.253E-9,-530.437E-9,269.076E-9,-1.343E-6,-509.204E-9,495.295E-9,-2.256E-6,-354.830E-9,797.633E-9,-6.261E-6,1.303E-6,2.495E-6
-413.521E-9,-546.328E-9,122.113E-9,-547.130E-9,-539.918E-9,137.537E-9,-732.418E-9,-548.331E-9,208.648E-9,-884.655E-9,-529.502E-9,270.144E-9,-1.338E-6,-507.067E-9,493.692E-9,-2.256E-6,-354.830E-9,798.167E-9,-6.260E-6,1.306E-6,2.495E-6
-415.191E-9,-543.925E-9,120.711E-9,-546.195E-9,-537.247E-9,134.466E-9,-736.491E-9,-550.335E-9,211.786E-9,-883.387E-9,-529.502E-9,268.541E-9,-1.335E-6,-502.794E-9,491.422E-9,-2.255E-6,-354.296E-9,798.434E-9,-6.259E-6,1.309E-6,2.496E-6
-417.127E-9,-543.524E-9,120.511E-9,-544.926E-9,-536.513E-9,130.727E-9,-738.227E-9,-552.738E-9,215.058E-9,-883.854E-9,-528.701E-9,269.543E-9,-1.333E-6,-501.859E-9,488.084E-9,-2.255E-6,-353.027E-9,798.567E-9,-6.260E-6,1.311E-6,2.497E-6
-420.666E-9,-541.387E-9,120.578E-9,-543.524E-9,-536.713E-9,128.724E-9,-738.628E-9,-557.946E-9,217.395E-9,-883.120E-9,-529.101E-9,269.877E-9,-1.329E-6,-498.788E-9,487.683E-9,-2.254E-6,-354.162E-9,797.900E-9,-6.259E-6,1.313E-6,2.498E-6
-421.534E-9,-540.319E-9,120.110E-9,-542.923E-9,-536.713E-9,127.722E-9,-741.432E-9,-562.353E-9,220.867E-9,-882.252E-9,-529.903E-9,270.945E-9,-1.326E-6,-499.255E-9,487.282E-9,-2.255E-6,-355.631E-9,798.968E-9,-6.258E-6,1.315E-6,2.499E-6
-421.601E-9,-538.716E-9,120.177E-9,-539.918E-9,-536.313E-9,126.720E-9,-740.364E-9,-565.825E-9,221.668E-9,-883.520E-9,-528.701E-9,269.610E-9,-1.323E-6,-498.253E-9,485.146E-9,-2.255E-6,-355.364E-9,798.567E-9,-6.257E-6,1.318E-6,2.500E-6
-424.539E-9,-540.319E-9,118.107E-9,-538.516E-9,-534.710E-9,127.321E-9,-742.834E-9,-566.960E-9,223.471E-9,-880.649E-9,-529.502E-9,270.344E-9,-1.321E-6,-497.452E-9,485.480E-9,-2.255E-6,-354.630E-9,798.567E-9,-6.257E-6,1.322E-6,2.502E-6
-424.004E-9,-537.915E-9,118.174E-9,-537.915E-9,-534.042E-9,126.320E-9,-743.035E-9,-569.832E-9,225.808E-9,-882.853E-9,-530.036E-9,271.079E-9,-1.322E-6,-497.719E-9,483.009E-9,-2.255E-6,-355.097E-9,798.834E-9,-6.255E-6,1.324E-6,2.503E-6
-426.141E-9,-537.515E-9,118.708E-9,-538.716E-9,-533.108E-9,126.720E-9,-741.633E-9,-570.766E-9,227.477E-9,-883.253E-9,-530.504E-9,270.745E-9,-1.321E-6,-496.851E-9,482.675E-9,-2.255E-6,-354.429E-9,798.768E-9,-6.254E-6,1.326E-6,2.505E-6
-428.144E-9,-535.244E-9,118.574E-9,-537.782E-9,-534.443E-9,127.789E-9,-741.966E-9,-571.434E-9,227.411E-9,-882.051E-9,-530.704E-9,271.613E-9,-1.320E-6,-497.185E-9,481.941E-9,-2.255E-6,-355.097E-9,798.701E-9,-6.253E-6,1.327E-6,2.507E-6
