MAG13_MS100_SN338 X,MAG13_MS100_SN338 Y,MAG13_MS100_SN338 Z,MAG13_MS100_SN596 X,MAG13_MS100_SN596 Y,MAG13_MS100_SN596 Z,MAG13_MS100_SN597 X,MAG13_MS100_SN597 Y,MAG13_MS100_SN597 Z,MAG13_MSL100_SN773 X,MAG13_MSL100_SN773 Y,MAG13_MSL100_SN773 Z,MAG13_MSL100_SN594 X,MAG13_MSL100_SN594 Y,MAG13_MSL100_SN594 Z,MAG13_MSL100_SN777 X,MAG13_MSL100_SN777 Y,MAG13_MSL100_SN777 Z,MAG13_MS70_SN339 X,MAG13_MS70_SN339 Y,MAG13_MS70_SN339 Z
2.097E-6,1.177E-6,1.967E-6,2.119E-6,941.190E-9,2.019E-6,1.583E-6,1.196E-6,1.819E-6,-1.326E-6,-1.115E-6,764.915E-9,1.772E-6,1.341E-6,2.112E-6,-1.646E-6,176.799E-9,-283.719E-9,2.568E-6,758.248E-9,1.397E-6
3.759E-6,-6.359E-6,1.409E-6,5.039E-6,-8.193E-6,1.582E-6,1.948E-6,-7.001E-6,1.132E-6,-937.738E-9,-531.372E-9,196.563E-9,4.070E-6,-6.208E-6,1.196E-6,-2.311E-6,-361.641E-9,782.008E-9,5.812E-6,-4.203E-6,888.511E-9
4.417E-6,-16.063E-6,-547.530E-9,7.152E-6,-19.520E-6,-292.933E-9,1.203E-6,-17.306E-6,-883.454E-9,-939.341E-9,-566.159E-9,202.238E-9,5.528E-6,-15.821E-6,-325.384E-9,-2.301E-6,-353.628E-9,766.317E-9,8.163E-6,-10.647E-6,-581.119E-9
4.722E-6,-26.411E-6,-3.009E-6,8.449E-6,-31.628E-6,-2.729E-6,-17.771E-9,-28.511E-6,-3.268E-6,-935.201E-9,-592.534E-9,196.162E-9,6.350E-6,-26.107E-6,-2.814E-6,-2.301E-6,-354.296E-9,765.850E-9,8.729E-6,-17.483E-6,4.140E-6
4.836E-6,-36.824E-6,-5.520E-6,9.642E-6,-43.803E-6,-5.157E-6,-1.343E-6,-39.929E-6,-5.682E-6,-927.522E-9,-619.242E-9,190.620E-9,7.073E-6,-36.473E-6,-5.535E-6,-2.301E-6,-355.030E-9,765.716E-9,10.377E-6,-24.345E-6,2.958E-6
4.860E-6,-47.219E-6,-8.046E-6,10.785E-6,-55.936E-6,-7.619E-6,-2.640E-6,-51.481E-6,-8.082E-6,-922.247E-9,-645.683E-9,184.677E-9,7.764E-6,-46.811E-6,-8.262E-6,-2.302E-6,-355.898E-9,765.983E-9,12.403E-6,-31.343E-6,1.097E-6
4.876E-6,-57.574E-6,-10.567E-6,11.914E-6,-68.021E-6,-10.080E-6,-3.858E-6,-63.089E-6,-10.440E-6,-913.300E-9,-673.527E-9,178.401E-9,8.435E-6,-57.113E-6,-10.979E-6,-2.302E-6,-357.434E-9,765.917E-9,14.986E-6,-38.250E-6,-765.647E-9
4.885E-6,-67.894E-6,-13.077E-6,13.033E-6,-80.048E-6,-12.527E-6,-4.953E-6,-74.718E-6,-12.753E-6,-907.691E-9,-699.500E-9,173.861E-9,9.088E-6,-67.368E-6,-13.680E-6,-2.301E-6,-359.237E-9,764.915E-9,16.763E-6,-45.179E-6,-2.593E-6
4.888E-6,-78.197E-6,-15.583E-6,14.131E-6,-92.027E-6,-14.961E-6,-5.918E-6,-86.317E-6,-15.034E-6,-904.687E-9,-726.209E-9,167.985E-9,9.732E-6,-77.585E-6,-16.362E-6,-2.302E-6,-359.237E-9,765.516E-9,17.550E-6,-52.129E-6,-4.404E-6
-10.693E-6,-87.777E-6,-33.198E-6,15.478E-6,-102.680E-6,-17.255E-6,-6.449E-6,-97.964E-6,-17.338E-6,-899.679E-9,-752.783E-9,161.708E-9,10.338E-6,-87.746E-6,-19.026E-6,-2.300E-6,-360.439E-9,764.915E-9,-18.681E-6,-30.743E-6,35.023E-6
