MAG13_MS100_SN338 X,MAG13_MS100_SN338 Y,MAG13_MS100_SN338 Z,MAG13_MS100_SN596 X,MAG13_MS100_SN596 Y,MAG13_MS100_SN596 Z,MAG13_MS100_SN597 X,MAG13_MS100_SN597 Y,MAG13_MS100_SN597 Z,MAG13_MSL100_SN773 X,MAG13_MSL100_SN773 Y,MAG13_MSL100_SN773 Z,MAG13_MSL100_SN594 X,MAG13_MSL100_SN594 Y,MAG13_MSL100_SN594 Z,MAG13_MSL100_SN777 X,MAG13_MSL100_SN777 Y,MAG13_MSL100_SN777 Z,MAG13_MS70_SN339 X,MAG13_MS70_SN339 Y,MAG13_MS70_SN339 Z
1.177E-6,989.465E-9,1.193E-6,1.179E-6,890.310E-9,1.126E-6,1.324E-6,1.131E-6,1.263E-6,409.962E-9,-1.368E-6,602.061E-9,1.381E-6,975.643E-9,1.373E-6,-1.369E-6,-967.785E-9,-750.647E-9,1.542E-6,453.553E-9,700.898E-9
2.961E-6,-5.198E-6,1.097E-6,3.949E-6,-6.723E-6,1.002E-6,2.278E-6,-6.007E-6,1.260E-6,-997.965E-9,-548.198E-9,242.367E-9,3.725E-6,-5.243E-6,915.283E-9,-2.319E-6,-363.510E-9,810.720E-9,4.767E-6,-3.658E-6,508.145E-9
3.799E-6,-14.635E-6,-647.686E-9,6.352E-6,-17.731E-6,-532.306E-9,2.195E-6,-16.562E-6,-259.481E-9,-980.605E-9,-587.993E-9,242.501E-9,5.480E-6,-14.555E-6,-555.142E-9,-2.316E-6,-372.257E-9,785.948E-9,7.340E-6,-9.947E-6,-895.629E-9
3.740E-6,-25.031E-6,-3.111E-6,7.663E-6,-29.694E-6,-3.007E-6,1.426E-6,-28.017E-6,-2.591E-6,-976.732E-9,-614.434E-9,235.290E-9,6.363E-6,-24.681E-6,-2.744E-6,-2.317E-6,-373.659E-9,785.614E-9,9.609E-6,-16.783E-6,3.898E-6
3.639E-6,-35.507E-6,-5.650E-6,8.862E-6,-41.781E-6,-5.409E-6,626.700E-9,-39.470E-6,-4.922E-6,-972.993E-9,-640.675E-9,229.080E-9,7.105E-6,-34.948E-6,-5.450E-6,-2.316E-6,-374.661E-9,784.145E-9,11.793E-6,-23.627E-6,6.806E-6
3.647E-6,-45.902E-6,-8.192E-6,9.988E-6,-53.875E-6,-7.847E-6,-229.434E-9,-50.824E-6,-7.320E-6,-968.853E-9,-667.851E-9,224.206E-9,7.771E-6,-45.207E-6,-8.190E-6,-2.316E-6,-375.395E-9,784.278E-9,13.474E-6,-30.450E-6,4.919E-6
3.647E-6,-56.258E-6,-10.730E-6,11.091E-6,-65.938E-6,-10.292E-6,-1.130E-6,-62.045E-6,-9.740E-6,-962.978E-9,-693.357E-9,217.462E-9,8.398E-6,-55.438E-6,-10.951E-6,-2.317E-6,-376.664E-9,783.744E-9,15.285E-6,-37.318E-6,3.050E-6
3.644E-6,-66.558E-6,-13.254E-6,12.179E-6,-77.952E-6,-12.732E-6,-2.085E-6,-73.117E-6,-12.195E-6,-958.571E-9,-718.196E-9,211.786E-9,8.996E-6,-65.647E-6,-13.702E-6,-2.316E-6,-376.998E-9,783.878E-9,17.416E-6,-44.075E-6,1.168E-6
3.633E-6,-76.837E-6,-15.763E-6,13.251E-6,-89.942E-6,-15.167E-6,-3.100E-6,-84.073E-6,-14.676E-6,-953.363E-9,-744.437E-9,204.041E-9,9.573E-6,-75.829E-6,-16.451E-6,-2.317E-6,-378.266E-9,783.945E-9,18.772E-6,-51.076E-6,-700.726E-9
1.276E-6,-85.302E-6,-21.666E-6,14.599E-6,-101.345E-6,-17.673E-6,-4.196E-6,-94.933E-6,-17.173E-6,-947.620E-9,-769.610E-9,199.233E-9,10.137E-6,-85.991E-6,-19.182E-6,-2.316E-6,-379.669E-9,783.744E-9,-3.471E-6,-49.528E-6,23.806E-6
